disaster_type,severity,population_affected,rainfall_mm,temperature_c,disaster_duration_days,district,state,latitude,longitude,food_required,medical_required,water_required,clothing_required
Flood,2,98379,704.29,44.4,26,Nabarangpur,Odisha,20.6587,85.3877,200232,14047,190467,52326
Cyclone,3,26621,742.22,43.6,8,Sonitpur,Assam,25.3972,91.7151,14892,4341,29955,12215
Cyclone,7,54531,688.04,29.8,12,New Delhi,Delhi (NCT),28.7394,77.3957,70432,8969,119372,32546
Cyclone,7,10831,336.93,44.8,7,Nawanshahr (Shahid Bhagat Singh Nagar),Punjab,31.0449,75.7514,6220,3163,16553,5947
Cyclone,10,18844,111.73,37.0,28,Nirmal,Telangana,16.9148,78.6304,67145,6375,60435,19746
Cyclone,3,63194,281.72,28.1,18,Parbhani,Maharashtra,19.5481,72.8538,81432,8354,99224,35142
Flood,1,18523,210.3,23.6,1,Lalitpur,Uttar Pradesh,27.3815,80.6004,1143,1609,16460,4704
Earthquake,3,17668,136.28,30.8,9,Ukhrul,Manipur,24.0757,93.8245,10297,2497,16066,8690
Earthquake,5,47511,24.5,28.1,7,Udupi,Karnataka,12.4994,78.0,29507,7643,58951,27404
Fire,7,4034,935.73,44.8,14,Hingoli,Maharashtra,19.2613,73.1285,4876,2008,5399,1341
Flood,4,77045,921.03,27.2,26,Ferozepur,Punjab,31.3709,75.3603,192439,10274,207835,43791
Cyclone,1,97046,50.42,39.3,1,Pulwama,Jammu and Kashmir,34.4805,74.7622,5623,10479,66749,34620
Earthquake,6,96444,173.08,38.5,13,Chirang,Assam,26.3229,91.5116,123739,18351,143236,70499
Earthquake,2,8272,139.5,12.5,20,Dibang Valley,Arunachal Pradesh,27.4305,93.264,9401,813,8249,4852
Earthquake,3,27458,281.22,13.0,15,Daman,Daman and Diu (UT),20.4231,72.9515,24015,3151,29171,15806
Cyclone,4,66413,204.07,33.1,5,Rohtak,Haryana,28.9816,76.3267,29597,11626,80799,37138
Landslide,6,19863,945.85,19.1,5,Tirap,Arunachal Pradesh,27.8166,93.7408,7947,3028,24764,9469
Cyclone,6,48773,84.17,33.0,14,Hailakandi,Assam,26.1514,92.0014,65287,10025,88364,32694
Earthquake,7,96806,211.67,15.1,14,Sahibzada Ajit Singh Nagar (Mohali),Punjab,31.7823,75.7849,130040,17475,156200,69380
Fire,5,86097,80.72,23.9,14,Imphal East,Manipur,24.7191,94.3577,72055,17973,87341,30784
Earthquake,7,68075,980.39,13.6,5,Virudhunagar,Tamil Nadu,12.3584,80.8014,29899,12458,100433,36733
Cyclone,2,7904,918.41,19.9,11,Sheikhpura,Bihar,25.2965,85.429,6428,778,8974,3391
Cyclone,1,47694,716.63,13.1,19,Moradabad,Uttar Pradesh,26.2804,81.0163,59045,3629,59963,22398
Fire,10,78848,425.97,44.0,5,Dharmapuri,Tamil Nadu,12.9476,79.8971,38867,40354,88227,22760
Cyclone,8,87289,190.18,23.8,4,West Tripura,Tripura,23.5826,91.0911,38780,19101,134452,51571
Flood,1,87607,221.49,41.5,15,Jajpur,Odisha,20.1218,85.8103,71338,8252,100679,31855
Cyclone,2,67625,443.04,44.0,21,Bhadohi,Uttar Pradesh,27.2445,80.883,90085,8295,96703,40078
Landslide,10,73504,768.22,41.8,7,Krishna,Andhra Pradesh,16.6881,80.5154,60785,23156,111286,45061
Flood,6,99348,264.73,25.9,5,Bandipore,Jammu and Kashmir,33.947,74.8933,47232,17185,181426,39589
Tsunami,1,24704,310.79,37.3,30,Sahibzada Ajit Singh Nagar (Mohali),Punjab,32.1313,75.8447,49734,2851,38104,16306
Earthquake,10,22235,599.94,15.4,15,Sindhudurg,Maharashtra,18.9581,72.2715,40323,4969,54085,20350
Tsunami,3,96180,237.73,13.3,30,Pune,Maharashtra,19.215,72.3499,249739,10953,218084,71560
Tsunami,7,38018,584.22,40.7,14,Hamirpur,Himachal Pradesh,30.8523,77.0309,59371,11607,102380,28960
Earthquake,8,50949,387.13,11.1,24,West Kameng,Arunachal Pradesh,27.3567,93.6523,121789,9311,122205,51567
Flood,4,30947,34.37,44.0,24,Madurai,Tamil Nadu,13.497,80.1463,66203,5232,62971,16750
Flood,3,43874,402.7,33.5,3,Jagatsinghapur,Odisha,20.6076,85.7799,11859,5628,48680,12379
Flood,1,60809,919.53,24.7,5,Sambhal (Bhim Nagar),Uttar Pradesh,27.101,80.3216,19510,5003,67558,16704
Fire,9,10780,293.11,14.9,12,Adilabad,Telangana,17.655,78.5617,11635,3947,15495,4374
Cyclone,10,95719,322.83,35.3,20,Deoghar,Jharkhand,23.4137,85.2789,215141,29446,259018,85557
Cyclone,6,55137,65.94,29.7,14,Theni,Tamil Nadu,13.2334,80.7476,69487,11403,91448,40146
Cyclone,6,59014,615.05,34.9,30,Saharsa,Bihar,25.2362,85.2419,164537,11401,151604,60686
Landslide,9,26409,849.24,24.6,5,Barnala,Punjab,31.2894,75.2989,15554,7041,45175,14825
Flood,1,10449,352.92,12.3,24,Imphal East,Manipur,25.2001,94.247,16436,655,18201,4951
Flood,6,75179,240.25,21.0,4,Pulwama,Jammu and Kashmir,34.5207,74.6528,30651,12280,136471,30840
Flood,5,60920,956.61,21.0,21,Firozabad,Uttar Pradesh,26.7436,80.607,108128,9072,176220,33339
Landslide,6,75096,745.07,10.3,16,Narmada (Rajpipla),Gujarat,23.1742,73.1902,100541,12763,112043,45241
Earthquake,8,34653,567.16,10.3,7,South Sikkim,Sikkim,26.8449,88.3936,25444,5881,53772,22698
Cyclone,5,28625,305.53,21.6,3,Barpeta,Assam,26.0688,91.759,7299,4745,31647,12116
Flood,2,6048,220.8,35.5,29,Jhunjhunu,Rajasthan,27.0673,75.899,12163,717,12495,3078
Cyclone,2,14598,715.74,31.8,22,Dangs (Ahwa),Gujarat,22.8146,72.806,24569,1644,21390,7584
Flood,10,19091,521.79,18.4,25,Sultanpur,Uttar Pradesh,26.7171,80.2302,70238,4348,69851,16054
Tsunami,5,90610,520.6,31.1,27,Dumka,Jharkhand,23.3833,85.132,234370,17378,247656,74887
Fire,3,59890,73.71,32.7,4,Lakhisarai,Bihar,25.0725,85.5513,14564,12474,35349,12356
Earthquake,10,7760,512.19,28.3,20,Jagtial,Telangana,17.464,78.6871,16806,2016,20381,8226
Landslide,3,26345,822.74,28.2,22,Meerut,Uttar Pradesh,26.7239,81.6083,41085,3625,37715,14655
Flood,8,338,946.8,22.9,6,Nilgiris,Tamil Nadu,13.289,80.1844,239,68,689,168
Fire,7,20020,106.68,14.3,3,Virudhunagar,Tamil Nadu,12.3211,80.4502,4425,5396,19494,6130
Landslide,1,46759,631.17,23.5,30,Bulandshahr,Uttar Pradesh,27.2449,80.7265,57006,4390,57463,29234
Cyclone,5,74974,568.35,22.1,1,Dibang Valley,Arunachal Pradesh,27.223,93.4264,6936,13064,77137,31978
Fire,9,42617,890.31,30.7,3,Nainital,Uttarakhand,30.3706,78.0955,9929,18200,44953,12805
Cyclone,4,75985,751.24,40.0,24,Namakkal,Tamil Nadu,13.2785,80.381,153074,15667,137256,53876
Cyclone,1,46450,965.26,23.1,8,Jhabua,Madhya Pradesh,22.731,77.2939,21710,4564,47074,18704
Flood,8,77279,960.03,34.8,16,Dewas,Madhya Pradesh,23.6808,76.9629,149780,18391,252580,50706
Cyclone,5,28374,225.69,38.4,22,Barabanki,Uttar Pradesh,27.0761,81.1878,55308,6099,41316,19723
Fire,2,45113,725.35,17.4,7,Ajmer,Rajasthan,26.9329,75.9627,16890,6891,27203,9328
Tsunami,1,40013,530.52,41.6,18,Neemuch,Madhya Pradesh,22.9184,77.6402,53957,5032,65111,18003
Earthquake,3,45919,214.6,12.5,9,Nayagarh,Odisha,19.7333,85.8212,24412,3644,44001,23330
Landslide,9,82268,194.87,41.6,3,Pulwama,Jammu and Kashmir,34.3965,74.5037,23062,21603,114236,39770
Landslide,1,92780,81.08,15.7,18,Jhajjar,Haryana,28.7879,76.1099,77149,7858,80633,44163
Flood,4,77957,795.55,21.8,16,Kathua,Jammu and Kashmir,33.9823,74.9011,117436,11617,159436,32668
Earthquake,8,94892,324.5,31.2,21,Mumbai Suburban,Maharashtra,19.0106,72.3364,208436,23765,223368,88557
Flood,8,65010,856.97,41.7,1,Gadchiroli,Maharashtra,19.3662,72.7354,7528,17410,117006,28506
Fire,10,23585,608.32,18.9,21,Mandya,Karnataka,12.4363,77.5254,51833,9006,42886,12991
Tsunami,8,2960,673.63,36.7,26,Auraiya,Uttar Pradesh,27.1643,80.8023,10452,830,11345,3049
Flood,10,49975,291.67,34.9,20,Aligarh,Uttar Pradesh,27.0431,81.0908,152863,12015,159599,35418
Fire,8,15019,457.29,15.6,16,Sahibganj,Jharkhand,22.6763,84.7067,20407,4632,27085,7225
Earthquake,4,98973,412.32,26.8,12,Shajapur,Madhya Pradesh,23.1081,77.6865,73112,13051,120022,53949
Earthquake,8,74047,235.69,26.9,6,Howrah,West Bengal,22.594,88.6419,41120,17408,110558,54667
Cyclone,9,9686,832.51,20.7,28,Cuttack,Odisha,20.6432,85.8965,32712,2541,34415,10046
Cyclone,7,52086,622.08,37.3,21,Kamjong,Manipur,24.4076,93.6991,106604,12734,137855,33072
Flood,2,89948,37.43,42.4,9,Deoria,Uttar Pradesh,27.109,80.748,51057,11568,116558,29410
Flood,9,23155,819.92,35.1,21,Alirajpur,Madhya Pradesh,23.4665,77.0126,74087,6505,87328,18765
Flood,8,34990,106.04,44.1,13,Maharajganj,Uttar Pradesh,27.2887,81.2919,47332,8610,82344,21360
Earthquake,5,63181,403.7,11.8,24,Kathua,Jammu and Kashmir,33.9507,74.9375,116328,9889,121660,52499
Flood,3,28907,571.26,11.3,12,Reasi,Jammu and Kashmir,34.1517,74.3098,27795,3094,37427,9092
Landslide,7,86020,7.65,41.3,13,Moradabad,Uttar Pradesh,26.0964,81.0259,82110,21024,131516,51941
Earthquake,2,47277,652.91,41.4,18,Hathras,Uttar Pradesh,26.9266,81.3494,51178,5013,58724,26087
Fire,3,94561,659.7,13.7,19,Buldhana,Maharashtra,19.1886,72.8434,81066,15520,106057,27039
Cyclone,9,68725,652.53,22.5,19,Kaushambi,Uttar Pradesh,27.3591,81.1755,149985,15871,197273,61311
Earthquake,4,14342,163.47,39.2,19,Khowai,Tripura,23.8543,91.3275,17752,2556,21882,10132
Tsunami,4,56417,255.73,14.5,6,Nabarangpur,Odisha,20.4769,85.7255,30342,8784,80574,25563
Flood,3,40078,247.38,19.4,16,Ramban,Jammu and Kashmir,34.4032,75.3379,49325,4778,64683,17093
Cyclone,5,16533,960.07,33.8,7,Sant Kabir Nagar,Uttar Pradesh,26.2231,81.3489,11804,3207,25673,8491
Fire,3,33382,67.53,44.4,7,Bilaspur,Chhattisgarh,21.5982,81.6413,11680,7765,19577,8790
Flood,9,76619,428.76,37.9,28,Moga,Punjab,31.156,75.9993,320144,16071,247942,69089
Flood,3,43678,871.25,37.2,23,Longleng,Nagaland,25.8755,94.1806,83744,6590,87162,24258
Cyclone,2,70307,769.47,22.0,28,Theni,Tamil Nadu,13.1815,80.8826,122314,7846,114366,43333
Flood,5,24233,822.44,33.1,19,Bidar,Karnataka,12.9624,77.5982,45835,4575,58899,12541
Earthquake,6,50417,972.29,14.0,16,Barmer,Rajasthan,26.6129,75.3078,81308,8427,106613,39506
Flood,1,66050,387.26,44.7,17,Nagpur,Maharashtra,18.8437,73.2618,63789,6620,83780,23732
Landslide,6,59712,309.66,26.8,22,Nanded,Maharashtra,19.4218,72.6477,118923,11743,106952,41654
Fire,10,64973,30.66,32.4,19,Bilaspur,Chhattisgarh,21.2732,81.8072,116188,27967,96169,32114
Fire,3,86878,150.02,40.7,16,West Tripura,Tripura,23.174,91.1981,66908,22031,75424,28880
Earthquake,4,62102,562.01,10.0,29,Udham Singh Nagar,Uttarakhand,31.053,78.2531,128318,7170,121116,55783
Landslide,6,52608,157.66,44.2,16,Jehanabad,Bihar,25.7514,85.3227,62819,11273,74551,34282
Flood,8,38479,736.31,22.6,19,Sultanpur,Uttar Pradesh,26.5667,80.447,97757,7794,109363,27348
Landslide,9,15331,37.23,21.9,15,Bilaspur,Chhattisgarh,21.6065,81.551,19650,3438,22091,10878
Fire,6,87485,259.49,15.1,3,Chittoor,Andhra Pradesh,16.6634,80.3866,20686,19716,69092,28198
Fire,7,41263,695.45,40.0,15,Basti,Uttar Pradesh,26.8727,81.1819,53316,14423,63577,17234
Earthquake,5,31776,255.5,40.5,25,Budgam,Jammu and Kashmir,34.4962,74.7231,71084,7101,54850,30654
Flood,9,87692,728.76,10.7,28,Tiruchirappalli,Tamil Nadu,12.6682,80.5252,323427,15736,343233,81348
Cyclone,4,85583,995.86,12.0,16,Kathua,Jammu and Kashmir,33.9744,75.272,127061,11962,135941,47572
Fire,10,55635,797.08,42.1,20,Mumbai Suburban,Maharashtra,19.0677,72.7866,106042,32725,106964,26896
Flood,6,91676,341.84,14.3,5,Yavatmal,Maharashtra,19.6443,72.5104,50664,12990,167906,42476
Fire,5,46210,900.59,31.7,19,Balrampur,Uttar Pradesh,27.3237,81.0321,60717,11973,58949,15334
Flood,1,47078,51.18,31.7,10,Rajnandgaon,Chhattisgarh,20.649,81.9972,32373,3843,46130,15587
Flood,5,90918,725.01,40.4,13,Karbi Anglong,Assam,26.0357,92.1965,117830,18822,203624,42386
Flood,5,91837,23.32,30.0,15,Moradabad,Uttar Pradesh,26.4689,81.1686,117159,14489,176043,47818
Flood,9,72469,174.56,25.2,12,Kaushambi,Uttar Pradesh,26.9817,81.2804,121209,16017,176766,35402
Earthquake,1,4852,987.59,44.1,17,Howrah,West Bengal,22.7173,88.6618,4662,559,5105,3130
Flood,5,24607,360.88,18.0,15,Tamenglong,Manipur,24.3834,93.2395,33306,3369,54433,13744
Tsunami,7,85805,820.5,19.2,28,Godda,Jharkhand,23.5568,85.4105,284497,22475,310677,88853
Earthquake,6,41595,376.09,13.0,4,Dimapur,Nagaland,25.7362,94.3435,13404,6061,45233,24221
Flood,6,90566,840.03,44.1,15,Sonipat,Haryana,28.9143,75.6639,128820,15740,216172,56477
Fire,7,60986,965.44,34.7,17,Bhiwani,Haryana,29.4352,76.024,81065,21498,79704,26452
Landslide,6,70659,435.54,10.4,27,Korba,Chhattisgarh,21.2248,81.9798,153786,10000,125531,57593
Fire,5,1082,559.35,34.7,11,Wardha,Maharashtra,18.4816,72.3946,767,328,1156,362
Flood,10,79941,628.64,24.1,23,Ernakulam,Kerala,8.8087,76.6431,177204,18981,297082,73652
Landslide,5,16246,934.83,43.9,23,Kodagu,Karnataka,13.1007,77.3214,25084,3872,29395,9959
Fire,9,54943,256.74,19.7,15,Sepahijala,Tripura,23.947,91.1629,76890,14612,86959,28000
Flood,8,76837,611.25,34.9,20,Panchkula,Haryana,28.466,76.188,184841,18914,249314,52255
Flood,10,82546,324.72,32.0,21,Bharatpur,Rajasthan,27.0048,75.7433,200914,24273,283771,59416
Earthquake,4,88667,216.93,10.4,26,South Delhi,Delhi (NCT),28.2825,76.9238,161100,10071,159485,73800
Flood,4,23736,84.92,41.0,7,North Tripura,Tripura,23.9415,91.682,14080,3693,34721,8584
Landslide,10,82950,620.71,14.9,13,Rohtak,Haryana,28.3988,76.5066,123281,17976,169597,57044
Cyclone,5,27432,882.09,33.2,22,Korea (Koriya),Chhattisgarh,21.4931,81.1604,52136,4909,53874,18596
Landslide,3,51534,351.39,37.1,13,Fatehabad,Haryana,29.0397,75.728,42262,8580,49898,23682
Earthquake,8,83966,552.67,32.1,20,Burhanpur,Madhya Pradesh,23.6329,77.0989,171237,18675,173118,84904
Flood,7,61371,642.13,13.4,20,Kalahandi,Odisha,20.7198,85.4633,135115,10389,201952,43375
Flood,5,62826,414.65,44.1,2,Panna,Madhya Pradesh,23.434,77.3051,12740,10221,96905,23232
Earthquake,10,81001,903.35,18.3,10,Gorakhpur,Uttar Pradesh,26.6878,80.7234,89806,17134,150985,70371
Fire,3,10208,362.76,32.0,18,Yavatmal,Maharashtra,19.2195,72.4864,10692,2186,9960,3959
Fire,5,68996,125.01,37.9,28,Morena,Madhya Pradesh,23.482,77.9135,111977,17782,91975,26794
Cyclone,3,42653,144.02,42.9,20,Bharatpur,Rajasthan,26.7053,75.8561,57451,6001,59018,22345
Flood,10,40980,890.86,31.1,5,West Delhi,Delhi (NCT),28.2834,77.3153,28117,12032,107271,22728
Flood,5,52177,988.01,19.1,20,North Goa,Goa,15.5158,74.086,103419,7894,112022,38202
Fire,1,3725,288.94,39.3,30,Jalpaiguri,West Bengal,22.5606,88.325,3791,613,3681,1142
